col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
33,33,33,255,58,58,58,255,0
36,36,36,255,33,33,33,255,0
37,37,37,255,133,133,133,255,0
33,33,33,255,34,34,34,255,0
33,33,33,255,63,63,63,255,0
36,36,36,255,172,172,172,255,0
91,91,91,255,87,87,87,255,0
31,31,31,255,142,142,142,255,0
36,36,36,255,32,32,32,255,0
75,75,75,255,111,111,111,255,0
31,31,31,255,41,41,41,255,0
41,41,41,255,36,36,36,255,0
31,31,31,255,84,84,84,255,0
38,38,38,255,95,95,95,255,0
72,72,72,255,35,35,35,255,0
34,34,34,255,62,62,62,255,0
65,65,65,255,104,104,104,255,0
34,34,34,255,108,108,108,255,0
82,82,82,255,71,71,71,255,0
43,43,43,255,36,36,36,255,0
81,81,81,255,40,40,40,255,0
34,34,34,255,36,36,36,255,0
105,105,105,255,40,40,40,255,0
87,87,87,255,37,37,37,255,0
34,34,34,255,36,36,36,255,0
31,31,31,255,34,34,34,255,0
31,31,31,255,34,34,34,255,0
95,95,95,255,38,38,38,255,0
34,34,34,255,65,65,65,255,0
76,76,76,255,37,37,37,255,0
34,34,34,255,36,36,36,255,0
39,39,39,255,33,33,33,255,0
36,36,36,255,31,31,31,255,0
52,52,52,255,74,74,74,255,0
65,65,65,255,39,39,39,255,0
35,35,35,255,127,127,127,255,0
35,35,35,255,172,172,172,255,0
31,31,31,255,37,37,37,255,0
101,101,101,255,32,32,32,255,0
75,75,75,255,38,38,38,255,0
33,33,33,255,34,34,34,255,0
32,32,32,255,118,118,118,255,0
33,33,33,255,162,162,162,255,0
34,34,34,255,39,39,39,255,0
37,37,37,255,38,38,38,255,0
32,32,32,255,170,170,170,255,0
139,139,139,255,67,67,67,255,0
38,38,38,255,29,29,29,255,0
97,97,97,255,37,37,37,255,0
33,33,33,255,43,43,43,255,0
81,81,81,255,98,98,98,255,0
116,116,116,255,25,25,25,255,0
35,35,35,255,39,39,39,255,0
48,48,48,255,30,30,30,255,0
31,31,31,255,37,37,37,255,0
33,33,33,255,148,148,148,255,0
33,33,33,255,117,117,117,255,0
33,33,33,255,179,179,179,255,0
35,35,35,255,35,35,35,255,0
31,31,31,255,69,69,69,255,0
79,79,79,255,38,38,38,255,0
32,32,32,255,148,148,148,255,0
32,32,32,255,37,37,37,255,0
100,100,100,255,29,29,29,255,0
